course_name,description,duration_weeks
IT Business Analysis,"За кого е подходящ модулът? Този модул е създаден с цел да задоволи нуждите на разнообразни участници, които искат да развият своите умения в областта на бизнес анализа и да допринесат за успешното изпълнение на софтуерни проекти и такива извън тази индустрия. Нужното ниво на английски език за модула е B2. Как мога да се запиша? За да се запишете, кликнете ТУК или бутона ""ЗАПИШИ СЕ"" и следвайте стъпките. След успешно заплащане на таксата, Вие ще бъдете записани за обучението. Докога мога да се запиша и кога стартира модулът? Записването в модулa е отворено до 25 май. Обучението стартира на 27 май 2025 г.&nbsp;Модулът включва следните курсове:&bull; IT Business Analysis Fundamentals - май 2025, стартира на 27 май 2025 г.;&bull; IT Business Analysis Advanced - септември 2025, стартира на 4 септември 2025 г. Как и къде ще се провеждат занятията? Определени сесии от модула се предоставят под формата на предварително записани видео уроци, които се качват в платформата по график, заедно с други учебни ресурси. Друга част от занятията се провеждат онлайн в реално време, като курсистите имат възможност да задават въпроси на преподавателя. Веднага след всяко занятие проведено в реално време, получавате достъп до записа и учебните ресурси. Подробен график на занятията по ден и час, както и формат на провеждане (на запис или онлайн в реално време), можете да откриете в раздел ""Теми"" в страницата на всеки курс от модула. Колко струва обучението в модула и какво включва? Онлайн400 лв. Онлайн обучение с видео уроци, достъпни по всяко време Доживотен достъп до видео записите и учебните ресурси Помощ от ментор за усвояване на учебния материалДостъп до 2 затворени Facebook групи с курсистите Явяване на изпити (редовни), сертификати и удостоверенияSoftUni ви дава 100% гаранция за качеството на този модул. За нас е важно да придобиете необходимите умения и знания. Ако по някаква причина обучението не отговори на очакванията ви, ние ви гарантираме възстановяване на цялата сума, която сте заплатили. Таксата може да ви бъде възстановена до третото занятие на първия курс (до 3 юни).",15
IT Business Analysis Advanced,"Този курс е предназначен за професионалисти в областта на бизнес анализа, които желаят да разширят своите умения и да извлекат повече стойност за тяхната кариера. Курсът се фокусира върху развитието на напреднали умения и техники за бизнес анализ, включително използването на техники като GAP анализ, SWOT анализ, създаване на персони и други, както и на ролята на бизнес анализатора в различните етапи на проекта и практическата имплементация на тези техники в реални сценарии. Това е отлична възможност за напреднали бизнес анализатори да разширят своите умения и да постигнат по-голям успех в своите професионални задачи.",7
IT Business Analysis Fundamentals,"Курсът има за цел да подготви кадри за дейности в сферата на бизнес анализа или сходна в ИТ сектора за или извън българския пазар на труда. Предоставя обучение по класифициране и извличане на различни видове изисквания, включително и техники за тяхното получаване. Участниците ще научат как да дефинират и планират бизнес анализ процесите в софтуерни проекти и да използват различни езици за моделиране. Специално внимание се отделя на спецификацията на изискванията и подготовката на съответната документация. Курсът ще обсъди методи за определяне на обхвата на продукта и управлението на заинтересованите страни, включително техники за приоритизация на изискванията.",8
IT Project Management,"За кого е подходящ модулът? Модулът е подходящ за:&nbsp;Хора с ограничен или никакъв опит в управлението на проекти, които искат да изградят основи в принципите на управлението на проекти;&nbsp;Професионалисти от различни индустрии, които искат да подобрят своите умения в управлението на проекти и да напреднат в своите кариери;&nbsp;Хора, които търсят структура в своята ежедневна работа;&nbsp;Нужното ниво на английски език, необходимо за модула, трябва да отговоря на B2. Как мога да се запиша? За да се запишете, кликнете ТУК или бутона ""ЗАПИШИ СЕ"" и следвайте стъпките. След успешно заплащане на таксата, Вие ще бъдете записани за обучението. Докога мога да се запиша и кога стартира модулът? Записването в модулa е отворено до 5 октомври. Обучението стартира на 7 октомври&nbsp;2025 г. Модулът включва следните курсове:&bull; IT Project Management Fundamentals - октомври&nbsp;2025, стартира на 7 октомври 2025 г.; &bull; IT Project Management Advanced - декември 2025, стартира на 2 декември 2025 г. Как и къде ще се провеждат занятията? Определени сесии от модула се предоставят под формата на предварително записани видео уроци, които се качват в платформата по график, заедно с други учебни ресурси. Друга част от занятията се провеждат онлайн в реално време, като курсистите имат възможност да задават въпроси на преподавателя. Веднага след всяко занятие проведено в реално време, получавате достъп до записа и учебните ресурси. Подробен график на занятията по ден и час, както и формат на провеждане (на запис или онлайн в реално време), можете да откриете в раздел ""Теми"" в страницата на всеки курс от модула. Има ли допълнителни изисквания? Препоръчително е функционално владеене на английски език, както и основна компютърна грамотност (работа с операционна система и файлове, инсталиране на софтуер и промяна на настройки).Колко струва обучението в модула и какво включва? Онлайн400 лв. Онлайн обучение с видео уроци, достъпни по всяко време Доживотен достъп до видео записите и учебните ресурси Помощ от ментор за усвояване на учебния материалДостъп до 2 затворени Facebook групи с курсистите Явяване на изпити (редовни), сертификати и удостоверенияSoftUni ви дава 100% гаранция за качеството на този модул. За нас е важно да придобиете необходимите умения и знания. Ако по някаква причина обучението не отговори на очакванията ви, ние ви гарантираме възстановяване на цялата сума, която сте заплатили. Таксата може да ви бъде възстановена до третото занятие на първия курс (до 21 октомври).",12
IT Project Management Advanced,"Курсът ""IT Project Management Advanced"" е специално създаден за желаещите да развият уменията си и да напреднат по професионалната стълба, като се справят със сложностите на изграждането на проект, от създаването му до успешното му приключване. Този курс се фокусира изцяло върху предоставянето на практически знания. Всяка лекция в учебния план включва динамично съчетание от теория и практика, което включва виртуален проект, който отразява реални сценарии, като ще насочи курсистите през всяка фаза на жизнения цикъл на проекта.",5
IT Project Management Fundamentals,"В днешния бързо развиващ се свят и икономика, уменията по управление на проекти са от съществено значение за всеки професионалист, независимо дали управлява проект, или е част от екип, който изпълнява такъв. Курсът ""IT Project Management Fundamentals"" предоставя изчерпателен преглед на ключовите принципи, практики и техники, свързани с ефективното управление на проекти. Той осигурява на всички участници необходимите умения и знания, за да водят, планират, изпълняват и успешно завършват проекти.",7
Java Development,"За кого е подходяща програмата? Програмата е идеална за хора, които искат системно да навлязат в света на Java и да изградят стабилни основи в езика и неговата екосистема:&nbsp;Напълно начинаещи без опит в програмирането, които искат структурирано и практическо обучение от нулата;&nbsp;Преквалифициращи се от други сфери (QA, маркетинг, дизайн, non-IT), търсещи първа дев роля;&nbsp;Студенти от технически специалности, които имат нужда от повече практика, задачи и изпитна подготовка;&nbsp;Самоуки програмисти, които искат да &bdquo;затворят дупки&ldquo; във фундаментите и да стъпят здраво на OOP;&nbsp;Девелопъри от други езици (C#, Python, JS), които преминават към Java платформата;&nbsp;QA/Automation специалисти, които планират автоматизация на тестове с Java и искат да работят уверено с OOP концепции и колекции;&nbsp;Начинаещи Android разработчици, които се нуждаят от солидна база в Java преди да преминат към мобилно програмиране.Докога мога да се запиша и кога стартира програмата? Записването в програмата е отворено до 8 март. Обучението стартира на 10 март 2026&nbsp;г. Как мога да се запиша? За да се запишете, кликнете ТУК и следвайте стъпките. Записването се осъществява само след успешно извършено плащане. Кога и къде се провеждат занятията? Определени сесии от модула се предоставят под формата на предварително записани видео уроци, които се качват в платформата по график, заедно с други учебни ресурси. Друга част от занятията се провеждат онлайн в реално време, като курсистите имат възможност да задават въпроси на преподавателя. Веднага след всяко занятие проведено в реално време, получавате достъп до записа и учебните ресурси. Модулът включва следните курсове:&bull; Java&nbsp;Introduction - март 2026&nbsp;- стартира на 10 март, със занятия всеки вторник и четвъртък, като част от тях ще се провеждат в понеделник и сряда;&bull; Java Fundamentals - май 2026&nbsp;- стартира на 4 май, със занятия в понеделник и четвъртък;&bull; Java OOP - юни 2026 - стартира на 29 юни, със занятия в понеделник и сряда.Колко струва обучението в програмата? Онлайн488.96 лв. Онлайн обучение с видео уроци, достъпни по всяко времеДоживотен достъп до видео записите и учебните ресурси Помощ от ментор за усвояване на учебния материал Практически упражнения и проекти от реална бизнес средаЯвяване на изпити (редовни), сертификати и удостоверениеДостъп до 3 затворени Community групи с курсисти SoftUni ви дава 100% гаранция за качеството на тази Upskill програма. За нас е важно да придобиете необходимите умения и знания. Ако по някаква причина Upskill програмата не отговори на очакванията ви, ние ви гарантираме възстановяване на цялата сума, която сте заплатили. Таксата може да ви бъде възстановена до третото занятие на първия курс от Upskill програмата (до 16 март). Ще получа ли сертификат?Ще получите сертификат от СофтУни за всеки курс от модула, ако имате оценка ""Практика"" равна или по-висока от 5.00 след полагане на изпитите. Също така ще имате възможност да получите държавно признато ""Удостоверение за професионално обучение за достигане на отделна единица резултат от учене"" за целия модул, валидно на територията на Европейски съюз. Изискванията за получаване на удостоверение можете да разгледате ТУК. Освен това можете да получите и сертификат за завършена Upskill програма при наличие на всички сертификати за курсовете в съответната програма.",
Java Fundamentals,"Курсът ""Java Fundamentals"" ще запознае участниците с основните типове структури от данни и използването им в решаване на алгоритмични задачи. Обучаващите се ще надградят знанията, придобити в курса Programming Basics и ще започнат да използват по-сложни похвати и структури от програмирането като: масиви, листове, сетове и речници. През цялото продължение на курса ще се показват често срещани грешки в работата с езика и тяхното избягване. Заедно с това обучаващите се ще решават задачи, за да утвърдят познанията си върху материала.",7
Java Introduction,"Курсът ""Java Introduction"" дава начални умения по програмиране, необходими за всички технологични специалности в СофтУни. Това включва писане на програмен код на начално ниво (basic coding skills), работа със среда за разработка (IDE), използване на променливи и данни, оператори и изрази, работа с конзолата (четене на входни данни и печатане на резултати), използване на условни конструкции (if и if-else) и цикли (for и while).",7
Java OOP,"Курсът ""Java OOP"" ще научи курсистите на принципите на обектно-ориентираното програмиране (ООП), да работят с класове и обекти, да ползват обектно-ориентирано моделиране и да изграждат йерархии от класове. Ще се изучават основните принципи на ООП като абстракция (интерфейси и абстрактни класове), енкапсулация, наследяване и полиморфизъм. Ще се разгледат различни техники за дебъгване. Ще се обърне внимание на компонетно тестване (писане на unit тестове). Не на последно място по важност, ще се научат да подреждат правилно кода в големи по обем проекти, като по този начин ще получат истински организиран код. Освен това 30% от задачите на упражненията ще се решават с помощта на AI с цел да се стимулира използването на съвременни технологии за автоматизация на процеси, като същевременно се развиват умения за ефективно прилагане на AI инструменти в реални условия.",9
Java Web,"За кого е подходящ модулът? Модулът е подходящ за курсисти, които са запознати с принципите на обектно-ориентираното програмиране и работата с бази данни. Нужното ниво на английски език, необходимо за модула, трябва да отговоря на B2. Как мога да се запиша? За да се запишете, кликнете ТУК или бутона ""ЗАПИШИ СЕ"" и следвайте стъпките. След успешно заплащане на таксата, Вие ще бъдете записани за обучението. Докога мога да се запиша и кога стартира модулът? Записването в модулa е отворено до 9 май 2026. Обучението стартира на 11 май 2026&nbsp;г. Модулът включва следните курсове:&bull;&nbsp;Spring Fundamentals - май 2026,&nbsp;стартира на 11 май 2026 г.; &bull;&nbsp;Spring Advanced - юни 2026, стартира на 22 юни 2026 г.Подробен график на занятията можете да откриете в раздел ""Теми"" в страницата на всеки курс от модула.Как и къде ще се провеждат занятията? Можете да се обучавате онлайн в реално време. Веднага след всяко занятие получавате и достъп до записа на занятието и учебните ресурси. Колко струва обучението в модула и какво включва? Онлайнлв. Онлайн обучение в реално време Доживотен достъп до видео записите и учебните ресурси Помощ от ментор за усвояване на учебния материалДостъп до 2 затворени Community групи с курсистите Явяване на изпити (редовни), сертификати и удостоверениеВАЖНО: Имате възможност да заплатите цялата такса от 606.31 лева / &euro;310&nbsp;или да го направите на 2 равни вноски по 332.49 лева / &euro;170&nbsp;(общо 664.98 лева / &euro;340). Срокът за плащане на II-рата вноска от таксата е 11 юни 2026&nbsp;г. SoftUni ви дава 100% гаранция за качеството на този модул. За нас е важно да придобиете необходимите умения и знания. Ако по някаква причина обучението не отговори на очакванията ви, ние ви гарантираме възстановяване на цялата сума, която сте заплатили. Таксата може да ви бъде възстановена до датата на третото занятие от първия курс (до 18 май).",15
JS Advanced,"В курса ""JS Advanced"" курсистите ще получат задълбочени познания по езика JavaScript, като основи на синтаксиса, работа с масиви, матрици, обекти, класове и писане на функции. Ще изучават по-сложни концепции като function context, explicit binding и event loop. Курсът ще развие алгоритмичното им мислене. След успешното завършване на този курс ще имат възможност да работят с DOM дървото, да правят манипулации по него и да работят с ""events"". Ще се разглеждат функционалният и ООП подход за програмиране с JavaScript, като ще се изучават концепции като inheritance, object composition и prototype chain. Освен това 30% от задачите на упражненията ще се решават с помощта на AI с цел да се стимулира използването на съвременни технологии за автоматизация на процеси, като същевременно се развиват умения за ефективно прилагане на AI инструменти в реални условия.",6
JS Applications,"В курса ""JS Applications"" курсистите ще се научат какво сa HTTP заявки и как да ги използват. Ще се запознаят с REST Services, какво представлява един Baas (backend as a service) и как да работят с него, какво означава асинхронен код (Promises, използване на async/await), какво представляват Templating и Routing. По време на курса ще създават Single Page Application, ползвайки научените техники от предни лекции. Ще разберат каква е архитектурата на едно приложение и как да структурират правилно апликациите си. Към края на курса ще разглеждат различни шаблони за дизайн и тяхната практическа насока, ще създават собствени уеб компоненти, ползвайки Web Components стандарта и ще издигат една Wepback среда от нулата. Освен това 30% от задачите на упражненията ще се решават с помощта на AI с цел да се стимулира използването на съвременни технологии за автоматизация на процеси, като същевременно се развиват умения за ефективно прилагане на AI инструменти в реални условия.",6
JS Back-End,"Курсът е интензивен и цели да запознае учащите с разработката на сървърни JavaScript приложения върху платформата Node.js, използвайки Express.js като framework. По време на обучението курсистите ще разберат как да създават сървър с Node.js, ще се научат на сървър-клиент архитектурата и как да правят лесни и бързи data-driven web приложения с Node.js, Express.js и MongoDB, използвайки съвременни похвати и инструменти. Ще се разгледа една от най-популярните нерелационни бази от данни - MongoDB, заедно с библиотеката Mongoose за взимане на данни от нея. Към края на курса ще се изгради от нулата един цялостен REST API, ползвайки Express.js и MongoDB. Курсът ще наблегне много на практически упражнения, чрез които ще въвлече участниците в реални проекти за изработка на уеб страници, имплементация на фрагменти от сайтове и създаване на цялостни модерни уеб сайтове с добра визия, съвременна структура и мобилна поддръжка. Също така ще бъде използван AI за решаване на рутинни задачи, които не изискват активно запаметяване, с цел да се освободят ресурси за по-задълбочено разбиране и прилагане на новите концепции.",7
JS Front-End,"В курса ""JS Front-End"" курсистите ще получат основни познания по езика JavaScript, като основи на синтаксиса, работа с масиви, матрици, обекти, класове и писане на функции. Курсът ще развие алгоритмичното им мислене. След успешното завършване на този курс ще имат възможност да работят с DOM дървото, да правят манипулации по него и да работят с ""event""-и. Ще се разглеждат функционалният и ООП подход за програмиране с JavaScript. Ще се изучават концепции за предаване на данни чрез HTTP и REST. Също така ще бъде използван AI за решаване на рутинни задачи, които не изискват активно запаметяване, с цел да се освободят ресурси за по-задълбочено разбиране и прилагане на новите концепции.",7
Kubernetes,"Основна цел на курса е да осигури достатъчно ниво на комфорт при работа с Kubernetes и да подпомогне натрупването на знания и умения както за работа с контейнеризирани приложения, разгърнати в Kubernetes, така и със самите Kubernetes клъстери. В допълнение, курсистите ще се научат как да изграждат и управляват малки Kubernetes клъстери, как да наблюдават и отстраняват грешки по тях, използвайки различни похвати и инструменти и др. Тези умения ще бъдат постигнати чрез полагане на солидни и подробни теоретични основи, които ще са допълнени със съответните практически постановки и задачи. Наученото по време на курса, може да послужи както при подготовка за сертифициране, така и да бъде директно приложено в практиката.",8
Linux System Administration,"Основната цел на курса е да осигури достатъчно ниво на комфорт при работа в Linux среда. Това ще бъде постигнато чрез полагане на солидни теоретични основи, допълнени с множество практически постановки и задачи. По време на курса обучаващите се ще изградят малка мрежа от няколко (минимум три, но при желание и повече) машини, върху които ще се научат да управляват всичко от потребители и права, през мрежова свързаност и дискова система, до софтуер и услуги. През цялото време на курса се работи изключително и само в конзолата, за да може тя да се превърне в нова зона на комфорт на курсистите. Част от дейностите, които ще могат да извършват свободно, включват работа с файлове и папки, текстови редактори и не на последно място - създаване на кратки скриптове. Всичко това ще бъде приложено върху избрани представители (CentOS, openSUSE и Ubuntu) на трите основни фамилии от Linux дистрибуции.",5
Linux System Administration Advanced,"Основна цел на курса е да осигури достатъчно ниво на комфорт при работа с Linux и да подпомогне надграждането на знания и умения за управление на Linux базирана инфраструктура. Неговата насоченост е към изграждане и управление на решения за виртуализация и контейнеризация, съхранение и споделяне на данни. Ще се разгледат и групи от сървъри, устойчиви услуги и други. Тези умения ще бъдат постигнати чрез полагане на солидни и подробни теоретични основи, които ще са допълнени със съответните практически постановки, както и задачи. По време на занятията ще бъдат използвани избрани представители и по-конкретно CentOS, openSUSE и Ubuntu на трите основни фамилии от Linux дистрибуции.",8
Machine Learning,"Machine Learning е пресечната точка на програмирането с математическите и научните методи. То представлява науката за това как хората да накарат компютрите да дават решения без да бъдат специално програмирани преди това. В този курс участниците ще се запознаят с основите, благодарение на които работят всички алгоритми за машинно обучение. Записалите се ще разгледат основните типове задачи, до които може да сведе всеки реален проблем. За всяка задача ще се запознат с няколко алгоритъма, които я решават, а за всеки алгоритъм ще разберат кога се използва, как се обучава и тества. По време на обучението ще се решават редица практически задачи, като се използва езика Python - един от най-популярните езици за целите на науката и работата с данни. Обучението, само по себе си, или в комбинация с познания по математика и data science, е отправна точка за кариерно развитие: за позиции като Machine Learning Engineer, Applied Machine Learning Researcher, Data Scientist или подобни на тях.",7
Math Concepts for Developers,"Основната цел на курса е да изгради основата от математически знания, които са нужни на курсистите, за да започнат кариерата си в областта на изкуствения интелект. Ще разберат как се работи с матрици и вектори, къде и защо се използват комплексни числа, каква връзка има производната на функция със скоростта и други. В лекционните занятия ще бъдат въведени новите концепции и примери за използването им в реалния живот, а по време на практическите занятия същите ще бъдат затвърдени с писане на код (на езика Python). Курсът може да бъде отправна точка към области като: дизайн на алгоритми, обработка и анализ на данни, програмиране с научни цели, машинно обучение, криптография и други.",14
Microsoft Excel,"За кого е подходящ модулът? Модулът е подходящ за напълно начинаещи, без опит с Microsoft Excel или друг подобен софтуер или такива с начални умения за работа, които искат да се запознаят с пълните професионални възможности на приложението. Всички материали и примери са на английски език, нужното ниво за модула е B2. Как мога да се запиша? За да се запишете, кликнете ТУК или бутона ""ЗАПИШИ СЕ"" и следвайте стъпките. След успешно заплащане на таксата, Вие ще бъдете записани за обучението. Докога мога да се запиша и кога стартира модулът? Записването в модулa е отворено до 14 април. Обучението стартира на 16 април 2026&nbsp;г. Модулът включва следните курсове:&bull; Microsoft Excel Fundamentals - април 2026, стартира на 16 април 2026 г.; &bull; Microsoft Excel Advanced - май 2026, стартира на 26 май 2026 г. Как и къде ще се провеждат занятията? Определени сесии от модула се предоставят под формата на предварително записани видео уроци, които се качват в платформата по график, заедно с други учебни ресурси. Друга част от занятията се провеждат онлайн в реално време, като курсистите имат възможност да задават въпроси на преподавателя. Веднага след всяко занятие проведено в реално време, получавате достъп до записа и учебните ресурси. Подробен график на занятията по ден и час, както и формат на провеждане (на запис или онлайн в реално време), можете да откриете в раздел ""Теми"" в страницата на всеки курс от модула. Има ли допълнителни изисквания? Необходим софтуер или хардуер за участие в модула: Софтуер:&bull; Основна компютърна грамотност (работа с операционна система и файлове, инсталиране на софтуер и промяна на настройки);&bull; Microsoft Excel с версия минимум 2010;&bull; Microsoft Excel да е конфигуриран на английски език. Какъв документ ще получа след завършване на модула? Ще получите сертификат от СофтУни за всеки курс от модула, ако имате оценка ""Практика"" равна или по-висока от 5.00 след полагане на изпитите. Също така ще имате възможност да получите държавно признато ""Удостоверение за професионално обучение за достигане на отделна единица резултат от учене"" за целия модул, валидно на територията на Европейски съюз. Изискванията за получаване на удостоверение можете да разгледате ТУК. Колко струва обучението в модула и какво включва? Онлайнлв. Онлайн обучение с видео уроци, достъпни по всяко време Доживотен достъп до видео записите и учебните ресурси Помощ от ментор за усвояване на учебния материалДостъп до 2 затворени Community групи с курсистите Явяване на изпити (редовни), сертификати и удостоверениeSoftUni ви дава 100% гаранция за качеството на този модул. За нас е важно да придобиете необходимите умения и знания. Ако по някаква причина обучението не отговори на очакванията ви, ние ви гарантираме възстановяване на цялата сума, която сте заплатили. Таксата може да ви бъде възстановена до третото занятие на първия курс (до 23 април).",8
Microsoft Excel Advanced,"Ефективното използване на Microsoft Excel се счита за едно от най-полезните и незаменими умения, които всеки може да предложи в помощ на своя екип. Със своята популярност, Excel се е превърнал в жизненоважен елемент за функционирането на повечето съвременни работни среди, без значение от бранша. Обработката на масиви от данни в табличен вид остава основен инструмент за редица професии. Курсът ще запознае аудиторията с разширената функционалност на софтуера, за разрешаване на специфични задачи от практиката и визуализиране на данните в подходящ вид. Демонстрирани ще бъдат начини за работа и рефериране на множество работни страници, оформяне на диаграми и най-вече овладяване на един от най-силните инструменти в Excel - пивот-таблицата.",4
